Timestamp,Latitude,Longitude,Horizontal Accuracy,Elevation Change
07/05/2021 18:36:54.54,1.3746327,103.8384807,,
07/05/2021 18:36:56.40,1.374638,103.8385002,,
07/05/2021 18:36:57.44,1.3746329,103.8384951,,
07/05/2021 18:36:58.44,1.3746278,103.8384909,,
07/05/2021 18:37:00.40,1.3746257,103.8384884,,
07/05/2021 18:37:01.39,1.3746292,103.8384887,,
07/05/2021 18:37:02.47,1.3746317,103.838489,,
07/05/2021 18:37:04.43,1.3746354,103.8384884,,
07/05/2021 18:37:05.45,1.3746367,103.8384852,,
07/05/2021 18:37:07.43,1.3746359,103.8384853,,
07/05/2021 18:37:08.43,1.3746353,103.838488,,
07/05/2021 18:37:10.43,1.3746315,103.8384954,,
07/05/2021 18:37:11.43,1.3746315,103.8384988,,
07/05/2021 18:37:12.62,1.3746321,103.8385011,,
07/05/2021 18:37:14.43,1.3746325,103.8385049,,
07/05/2021 18:37:15.43,1.3746323,103.8385057,,
07/05/2021 18:37:17.44,1.3746275,103.8385124,,
07/05/2021 18:37:18.45,1.3746269,103.8385133,,
07/05/2021 18:37:20.44,1.3746274,103.8385124,,
07/05/2021 18:37:21.42,1.3746276,103.8385122,,
07/05/2021 18:37:22.46,1.3746065,103.8385216,,
07/05/2021 18:37:24.43,1.3745796,103.8385372,,
07/05/2021 18:37:25.43,1.3745702,103.8385483,,
07/05/2021 18:37:27.42,1.3745607,103.8385696,,
07/05/2021 18:37:28.45,1.3745572,103.8385821,,
07/05/2021 18:37:30.42,1.3745511,103.8386013,,
07/05/2021 18:37:32.44,1.374539,103.8386176,,
07/05/2021 18:37:33.45,1.3745318,103.8386244,,
07/05/2021 18:37:35.43,1.3745181,103.8386372,,
07/05/2021 18:37:36.43,1.3745097,103.8386433,,
07/05/2021 18:37:37.75,1.3745,103.8386525,,
07/05/2021 18:37:39.43,1.3745,103.8386562,,
07/05/2021 18:37:40.44,1.3745005,103.8386547,,
07/05/2021 18:37:42.43,1.3744976,103.8386548,,
07/05/2021 18:37:43.44,1.374493,103.8386519,,
07/05/2021 18:37:44.44,1.3744893,103.8386503,,
07/05/2021 18:37:45.45,1.3744898,103.8386489,,
07/05/2021 18:37:47.43,1.3744855,103.8386515,,
07/05/2021 18:37:48.43,1.37448,103.8386574,,
07/05/2021 18:37:49.44,1.3744735,103.8386618,,
07/05/2021 18:37:50.44,1.3744646,103.8386648,,
07/05/2021 18:37:52.44,1.3744449,103.838675,,
07/05/2021 18:37:53.44,1.3744354,103.8386815,,
07/05/2021 18:37:55.44,1.3744189,103.8386936,,
07/05/2021 18:37:56.45,1.3744126,103.8387009,,
07/05/2021 18:37:57.96,1.374401,103.8387111,,
07/05/2021 18:37:59.44,1.3743866,103.8387234,,
07/05/2021 18:38:01.44,1.3743722,103.8387386,,
07/05/2021 18:38:02.91,1.3743629,103.8387502,,
07/05/2021 18:38:04.43,1.3743544,103.8387657,,
07/05/2021 18:38:05.43,1.3743496,103.8387734,,
07/05/2021 18:38:06.43,1.3743465,103.8387781,,
07/05/2021 18:38:07.97,1.37434,103.8387867,,
07/05/2021 18:38:09.44,1.3743362,103.8387955,,
07/05/2021 18:38:10.43,1.3743321,103.8388017,,
07/05/2021 18:38:11.45,1.3743286,103.8388075,,
07/05/2021 18:38:12.46,1.3743244,103.8388139,,
07/05/2021 18:38:13.46,1.374318,103.8388202,,
07/05/2021 18:38:15.43,1.3743021,103.8388334,,
07/05/2021 18:38:16.45,1.3742937,103.8388397,,
07/05/2021 18:38:17.93,1.3742863,103.8388444,,
07/05/2021 18:38:19.44,1.374281,103.838844,,
07/05/2021 18:38:21.42,1.3742771,103.838841,,
07/05/2021 18:38:22.45,1.3742744,103.8388405,,
07/05/2021 18:38:23.45,1.3742724,103.8388386,,
07/05/2021 18:38:25.45,1.3742768,103.8388333,,
07/05/2021 18:38:27.44,1.3742791,103.8388315,,
07/05/2021 18:38:28.45,1.3742797,103.8388307,,
07/05/2021 18:38:30.44,1.3742798,103.8388294,,
07/05/2021 18:38:31.44,1.3742797,103.8388289,,
07/05/2021 18:38:32.47,1.3742793,103.8388282,,
07/05/2021 18:38:34.44,1.3742788,103.8388285,,
07/05/2021 18:38:35.45,1.3742784,103.8388287,,
07/05/2021 18:38:36.45,1.3742776,103.8388291,,
07/05/2021 18:38:37.99,1.3742763,103.8388299,,
07/05/2021 18:38:39.47,1.3742739,103.8388315,,
07/05/2021 18:38:41.46,1.3742714,103.8388337,,
07/05/2021 18:38:42.46,1.3742688,103.8388352,,
07/05/2021 18:38:43.48,1.3742665,103.8388364,,
07/05/2021 18:38:45.47,1.3742569,103.838843,,
07/05/2021 18:38:46.47,1.3742447,103.8388515,,
07/05/2021 18:38:47.97,1.3742191,103.8388654,,
07/05/2021 18:38:49.47,1.3742029,103.838872,,
07/05/2021 18:38:51.46,1.3741901,103.8388774,,
07/05/2021 18:38:52.47,1.3741849,103.8388798,,
07/05/2021 18:38:54.46,1.3741734,103.8388841,,
07/05/2021 18:38:56.39,1.3741608,103.8388884,,
07/05/2021 18:38:58.03,1.3741527,103.8388918,,
07/05/2021 18:38:59.40,1.3741421,103.8388977,,
07/05/2021 18:39:00.39,1.3741343,103.8389031,,
07/05/2021 18:39:01.41,1.3741259,103.838909,,
07/05/2021 18:39:03.08,1.3741172,103.8389138,,
07/05/2021 18:39:04.42,1.3741134,103.8389153,,
07/05/2021 18:39:05.42,1.3741103,103.8389159,,
07/05/2021 18:39:07.41,1.3741031,103.838917,,
